"Asset","Model","orig_entropy","nf_entropy","entropy_ratio","entropy_loss_pct","kl_divergence","js_divergence","ks_statistic","ks_pval","wasserstein_dist","mean_diff","sd_diff","skew_diff","kurt_diff","moment_preservation","distributions_similar"
"NVDA","sGARCH_norm",2.48219804632752,3.58259070883386,1.44331380573537,-44.3313805735366,0.567036609550256,0.149907735962945,0.0773687798227676,4.71672595234577e-08,0.343163848101323,0.0100172765113752,0.0344406900580103,0.469172144068689,7.41119836351734,0.11204697131108,FALSE
"MSFT","sGARCH_norm",1.55496964711282,3.55019931740446,2.28313094342148,-128.313094342148,0.980494972011165,0.250412493914849,0.0865712338104976,5.64011650738294e-10,0.439427198873021,0.00918153488376749,0.0130851273628128,0.26736403804709,13.3226322018865,0.0684356698681349,FALSE
"AMZN","sGARCH_norm",1.55631130363582,3.62412104006201,2.32866074518345,-132.866074518345,18.960011226758,0.773330345542727,0.114178595773688,4.89035147544687e-17,0.479515737391155,0.0845629715140465,0.0126340214643346,2.2300055979169,28.2119890483307,0.0317065830804706,FALSE
"EURUSD","sGARCH_norm",2.57609788635463,3.61799056373577,1.40444607439025,-40.4446074390249,0.404408214376652,0.108113756366648,0.0800954328561691,1.338301407213e-08,0.314502730216135,0.0148352057920918,0.0496128554995252,0.267572535828958,5.66694907470226,0.142878173058229,FALSE
"GBPUSD","sGARCH_norm",2.5418012119839,3.61160285782811,1.4208832857583,-42.0883285758303,0.463214582200723,0.123856218380147,0.0702113156100886,1.04616042393535e-06,0.297852172615087,0.0472039715432502,0.0141967660604974,0.0608591884194959,4.05975445295366,0.192975149597603,FALSE
"USDZAR","sGARCH_norm",2.5378352402387,3.50826954089292,1.38238664404508,-38.2386644045082,0.881246500914318,0.224900800718776,0.0501022494887526,0.00126601197732796,0.200134732388174,0.00597176692539794,0.0676118394270739,0.521858995707962,3.11854420027754,0.212134662639284,FALSE
"NVDA","sGARCH_sstd",1.67922536038916,3.62980002704154,2.16159195344711,-116.159195344711,8.71512905185171,0.794734059121196,0.0855487389229721,9.45236184375605e-10,0.406752136985736,0.0320879994479599,0.0358623215309974,0.76314937384091,10.1477609910044,0.08348039318826,FALSE
"MSFT","sGARCH_sstd",1.66341558507259,3.63795205121891,2.18703737290051,-118.703737290051,1.44515187765396,0.357271060861202,0.0882753919563736,2.35295407942815e-10,0.496328030722332,0.0645867725231969,0.0512308717108403,0.863511255921519,25.7631182577163,0.0360458467960442,FALSE
"AMZN","sGARCH_sstd",1.6709805778667,3.94718536829331,2.36219703602575,-136.219703602575,2.44720858444591,0.501357029877115,0.130879345603272,2.98127337046206e-22,0.803405526514664,0.0821326429781887,0.181407686973561,3.37531764308713,53.801887757291,0.0171113490682412,FALSE
"EURUSD","sGARCH_sstd",2.57888432426627,3.77125087553123,1.46235751640555,-46.2357516405548,0.655605860372569,0.172452719102037,0.110088616223586,7.21300486679314e-16,0.399282357805013,0.0877983588191417,0.109593388198058,0.337160008693185,5.83063230978857,0.135773931935298,FALSE
"GBPUSD","sGARCH_sstd",2.5422482810317,3.55625407135382,1.39886182552973,-39.8861825529729,0.327543733240857,0.0876541899636427,0.0633946830265849,1.51385836824628e-05,0.239522941013401,0.017859078980201,0.04155040554362,0.190085877270395,3.74722023706245,0.200131462400785,FALSE
"USDZAR","sGARCH_sstd",2.5467317946729,3.57858680119239,1.40516830577835,-40.5168305778354,1.99521839731685,0.414827587751863,0.0664621676891616,4.70457311636893e-06,0.216576154554502,0.042927802887574,0.00420050471212718,0.664195957116539,2.94719925453572,0.21466028793616,FALSE
