"asset","<NA>","Split_Type","Train_Size","Test_Size","Asset","Asset_Type"
"kurtosis",11.638223264325,"chronological",4515,4515,"NVDA","Equity"
"max",0.260876137028662,"chronological",4515,4515,"NVDA","Equity"
"mean",0.00138196390546614,"chronological",4515,4515,"NVDA","Equity"
"min",-0.36710869108206,"chronological",4515,4515,"NVDA","Equity"
"sd",0.0315727709561223,"chronological",4515,4515,"NVDA","Equity"
"skewness",-0.287127568825733,"chronological",4515,4515,"NVDA","Equity"
"kurtosis",11.767007216072,"chronological",4515,4515,"MSFT","Equity"
"max",0.17062572495211,"chronological",4515,4515,"MSFT","Equity"
"mean",0.000681151693973862,"chronological",4515,4515,"MSFT","Equity"
"min",-0.159453251418292,"chronological",4515,4515,"MSFT","Equity"
"sd",0.0177687693961954,"chronological",4515,4515,"MSFT","Equity"
"skewness",-0.0699007174643405,"chronological",4515,4515,"MSFT","Equity"
"kurtosis",12.640880605117,"chronological",4515,4515,"PG","Equity"
"max",0.113409373766945,"chronological",4515,4515,"PG","Equity"
"mean",0.00036657723780682,"chronological",4515,4515,"PG","Equity"
"min",-0.0914286711795267,"chronological",4515,4515,"PG","Equity"
"sd",0.0117715965769899,"chronological",4515,4515,"PG","Equity"
"skewness",-0.124229866322706,"chronological",4515,4515,"PG","Equity"
"kurtosis",8.24045963690398,"chronological",4515,4515,"CAT","Equity"
"max",0.137350167682958,"chronological",4515,4515,"CAT","Equity"
"mean",0.000524037814198207,"chronological",4515,4515,"CAT","Equity"
"min",-0.156859002248441,"chronological",4515,4515,"CAT","Equity"
"sd",0.0206717795697942,"chronological",4515,4515,"CAT","Equity"
"skewness",-0.249867540424256,"chronological",4515,4515,"CAT","Equity"
"kurtosis",15.2753271261757,"chronological",4515,4515,"WMT","Equity"
"max",0.11072306818585,"chronological",4515,4515,"WMT","Equity"
"mean",0.00044748734354589,"chronological",4515,4515,"WMT","Equity"
"min",-0.120764670017135,"chronological",4515,4515,"WMT","Equity"
"sd",0.0131173718495522,"chronological",4515,4515,"WMT","Equity"
"skewness",-0.037943189649782,"chronological",4515,4515,"WMT","Equity"
"kurtosis",15.2688766458897,"chronological",4515,4515,"AMZN","Equity"
"max",0.23862098411982,"chronological",4515,4515,"AMZN","Equity"
"mean",0.000973345599550624,"chronological",4515,4515,"AMZN","Equity"
"min",-0.246181552697029,"chronological",4515,4515,"AMZN","Equity"
"sd",0.0244335306911191,"chronological",4515,4515,"AMZN","Equity"
"skewness",0.394630901869621,"chronological",4515,4515,"AMZN","Equity"
