"asset","<NA>","Split_Type","Train_Size","Test_Size","Asset","Asset_Type"
"kurtosis",7.26146945630698,"chronological",4515,4515,"EURUSD","FX"
"max",0.0403771126351504,"chronological",4515,4515,"EURUSD","FX"
"mean",-2.08225732603044e-05,"chronological",4515,4515,"EURUSD","FX"
"min",-0.0473544137433278,"chronological",4515,4515,"EURUSD","FX"
"sd",0.00586240927029483,"chronological",4515,4515,"EURUSD","FX"
"skewness",-0.092916890218104,"chronological",4515,4515,"EURUSD","FX"
"kurtosis",15.5692256626899,"chronological",4515,4515,"GBPUSD","FX"
"max",0.0411534233417452,"chronological",4515,4515,"GBPUSD","FX"
"mean",-6.68923213661866e-05,"chronological",4515,4515,"GBPUSD","FX"
"min",-0.0832093690464065,"chronological",4515,4515,"GBPUSD","FX"
"sd",0.00636835570739151,"chronological",4515,4515,"GBPUSD","FX"
"skewness",-0.966041156112683,"chronological",4515,4515,"GBPUSD","FX"
"kurtosis",12.9327313181935,"chronological",4515,4515,"GBPCNY","FX"
"max",0.0447302658884747,"chronological",4515,4515,"GBPCNY","FX"
"mean",-9.68073557280199e-05,"chronological",4515,4515,"GBPCNY","FX"
"min",-0.0766605168196612,"chronological",4515,4515,"GBPCNY","FX"
"sd",0.00617426774017515,"chronological",4515,4515,"GBPCNY","FX"
"skewness",-0.547514238087334,"chronological",4515,4515,"GBPCNY","FX"
"kurtosis",7.12563440876434,"chronological",4515,4515,"USDZAR","FX"
"max",0.105517747936311,"chronological",4515,4515,"USDZAR","FX"
"mean",0.000222844606050559,"chronological",4515,4515,"USDZAR","FX"
"min",-0.0740251880110891,"chronological",4515,4515,"USDZAR","FX"
"sd",0.0108446790855628,"chronological",4515,4515,"USDZAR","FX"
"skewness",0.555166306307948,"chronological",4515,4515,"USDZAR","FX"
"kurtosis",7.24349306796603,"chronological",4515,4515,"GBPZAR","FX"
"max",0.0934938544487736,"chronological",4515,4515,"GBPZAR","FX"
"mean",0.000154952472001405,"chronological",4515,4515,"GBPZAR","FX"
"min",-0.047874532496202,"chronological",4515,4515,"GBPZAR","FX"
"sd",0.00989616257264433,"chronological",4515,4515,"GBPZAR","FX"
"skewness",0.611276749043579,"chronological",4515,4515,"GBPZAR","FX"
"kurtosis",7.29128893835765,"chronological",4515,4515,"EURZAR","FX"
"max",0.0958421706585115,"chronological",4515,4515,"EURZAR","FX"
"mean",0.000201183989306403,"chronological",4515,4515,"EURZAR","FX"
"min",-0.0461693334799014,"chronological",4515,4515,"EURZAR","FX"
"sd",0.00965883040433414,"chronological",4515,4515,"EURZAR","FX"
"skewness",0.707285428622542,"chronological",4515,4515,"EURZAR","FX"
