"","NVDA","MSFT","PG","CAT","WMT","AMZN","EURUSD","GBPUSD","GBPCNY","USDZAR","GBPZAR","EURZAR"
"2005-08-30",0.229310363531113,18.9632205963135,31.6870441436768,32.4880294799805,10.0590105056763,2.12450003623962,1.2181,1.7844,14.448,6.4808,11.6052,7.9206
"2005-08-31",0.234430596232414,19.1027660369873,31.7327938079834,33.5210151672363,10.0078153610229,2.13499999046326,1.2198,1.7829,14.5715,6.5033,11.6083,7.9434
"2005-09-01",0.234506651759148,18.9771785736084,31.8929557800293,34.3969497680664,10.0167179107666,2.09200000762939,1.2388,1.8105,14.8064,6.381,11.5292,7.8936
"2005-09-02",0.230685815215111,18.8515968322754,32.024486541748,35.1883163452148,9.91655158996582,2.07550001144409,1.2541,1.8377,14.9026,6.2647,11.5229,7.8719
"2005-09-06",0.232596695423126,18.837646484375,32.3562316894531,35.3453788757324,10.1703052520752,2.18099999427795,1.2483,1.8442,14.883,6.2811,11.5547,7.8247
"2005-09-07",0.240008249878883,18.7329883575439,32.1789436340332,35.6836700439453,10.2081470489502,2.18650007247925,1.2451,1.8391,14.855,6.2977,11.6054,7.8727
"2005-09-08",0.242835178971291,18.5655498504639,32.116024017334,35.2366409301758,10.2081470489502,2.14800000190735,1.2418,1.836,14.8709,6.3258,11.6165,7.8583
"2005-09-09",0.245968446135521,18.544620513916,32.5449981689453,35.5568084716797,10.2148275375366,2.14750003814697,1.2415,1.8327,14.8665,6.316,11.5936,7.8438
"2005-09-12",0.245127588510513,18.5655498504639,32.3505401611328,35.816577911377,10.2148275375366,2.22499990463257,1.2313,1.8266,14.7223,6.3711,11.6374,7.8537
"2005-09-13",0.252539992332458,18.4748458862305,31.767126083374,35.882999420166,10.032301902771,2.1965000629425,1.2276,1.8235,14.7189,6.3751,11.6211,7.8372
"2005-09-14",0.249482959508896,18.356237411499,31.4697017669678,35.2185287475586,9.94993877410889,2.15499997138977,1.2314,1.8232,14.7606,6.3589,11.5966,7.809
"2005-09-15",0.253915458917618,18.3283348083496,31.7442512512207,34.8802452087402,9.86535263061523,2.13549995422363,1.2223,1.809,14.5697,6.3938,11.5917,7.8117
"2005-09-16",0.254067867994308,18.1887893676758,32.001636505127,34.8681488037109,9.76518821716309,2.14000010490417,1.2243,1.8112,14.5676,6.3642,11.5253,7.8076
"2005-09-19",0.25047692656517,18.1399536132812,31.7785606384277,34.4150733947754,9.79634666442871,2.13750004768372,1.2139,1.8025,14.5672,6.4539,11.6129,7.8264
