"asset","model","split_type","train_size","test_size","loglik","aic","bic","n_params","convergence"
"NVDA","sGARCH_norm","chronological",2934,1581,6310.19896592882,-12612.3979318576,-12588.4614440228,4,TRUE
"NVDA","eGARCH","chronological",2934,1581,6168.49700511755,-12326.9940102351,-12297.0734004416,5,TRUE
"NVDA","gjrGARCH","chronological",2934,1581,6274.62440200463,-12539.2488040093,-12509.3281942158,5,TRUE
"NVDA","TGARCH","chronological",2934,1581,6377.59538463372,-12745.1907692674,-12715.2701594739,5,TRUE
"MSFT","sGARCH_norm","chronological",2934,1581,8070.45202059138,-16132.9040411828,-16108.967553348,4,TRUE
"MSFT","gjrGARCH","chronological",2934,1581,8076.17919715859,-16142.3583943172,-16112.4377845237,5,TRUE
"MSFT","TGARCH","chronological",2934,1581,8102.37817660814,-16194.7563532163,-16164.8357434228,5,TRUE
"AMZN","sGARCH_norm","chronological",2934,1581,6739.9641635861,-13471.9283271722,-13447.9918393374,4,TRUE
"AMZN","eGARCH","chronological",2934,1581,6679.08570017231,-13348.1714003446,-13318.2507905511,5,TRUE
"AMZN","gjrGARCH","chronological",2934,1581,6633.81218995694,-13257.6243799139,-13227.7037701204,5,TRUE
"AMZN","TGARCH","chronological",2934,1581,6793.9950385266,-13577.9900770532,-13548.0694672597,5,TRUE
"EURUSD","sGARCH_norm","chronological",2934,1581,10845.4334473937,-21682.8668947875,-21658.9304069526,4,TRUE
"EURUSD","eGARCH","chronological",2934,1581,10728.4842407134,-21446.9684814267,-21417.0478716332,5,TRUE
"EURUSD","gjrGARCH","chronological",2934,1581,10729.9036188829,-21449.8072377658,-21419.8866279722,5,TRUE
"EURUSD","TGARCH","chronological",2934,1581,10806.980320127,-21603.960640254,-21574.0400304605,5,TRUE
"GBPUSD","sGARCH_norm","chronological",2934,1581,10960.3062888297,-21912.6125776593,-21888.6760898245,4,TRUE
"GBPUSD","eGARCH","chronological",2934,1581,10980.4899263051,-21950.9798526101,-21921.0592428166,5,TRUE
"GBPUSD","gjrGARCH","chronological",2934,1581,10250.4737284573,-20490.9474569145,-20461.026847121,5,TRUE
"GBPUSD","TGARCH","chronological",2934,1581,10980.2878040474,-21950.5756080947,-21920.6549983012,5,TRUE
"USDZAR","sGARCH_norm","chronological",2934,1581,9217.60195799298,-18427.203915986,-18403.2674281511,4,TRUE
"USDZAR","eGARCH","chronological",2934,1581,9044.27515030991,-18078.5503006198,-18048.6296908263,5,TRUE
"USDZAR","gjrGARCH","chronological",2934,1581,9205.40351697942,-18400.8070339588,-18370.8864241653,5,TRUE
"USDZAR","TGARCH","chronological",2934,1581,9226.86278773967,-18443.7255754793,-18413.8049656858,5,TRUE
