"asset","model","n_windows","converged_windows","avg_loglik","success_rate"
"NVDA","sGARCH_norm",4,4,5550.85458067027,1
"NVDA","sGARCH_sstd",4,4,6431.35260881534,1
"NVDA","TGARCH",4,4,6106.26835011006,1
"NVDA","gjrGARCH",4,4,6721.33171932126,1
"MSFT","sGARCH_norm",4,4,7179.82182645448,1
"MSFT","sGARCH_sstd",4,4,8065.37365628072,1
"MSFT","eGARCH",3,1,175.07831577915,0.333333333333333
"MSFT","TGARCH",4,4,7714.87476985966,1
"MSFT","gjrGARCH",4,4,8309.60640565787,1
"AMZN","sGARCH_norm",4,4,5916.12527698632,1
"AMZN","sGARCH_sstd",4,4,7170.88158009114,1
"AMZN","eGARCH",1,1,-311.893627744737,1
"AMZN","TGARCH",4,4,6827.80782712723,1
"AMZN","gjrGARCH",4,4,7331.38515745734,1
"EURUSD","sGARCH_norm",4,4,9874.62528643142,1
"EURUSD","sGARCH_sstd",4,4,10744.1699266161,1
"EURUSD","eGARCH",2,1,-15282.3698943557,0.5
"EURUSD","TGARCH",4,4,10413.1800109479,1
"EURUSD","gjrGARCH",4,4,10807.11812494,1
"GBPUSD","sGARCH_norm",4,4,10061.3985257918,1
"GBPUSD","sGARCH_sstd",4,4,10772.3458999249,1
"GBPUSD","eGARCH",3,2,-17329.5274526854,0.666666666666667
"GBPUSD","TGARCH",4,4,10399.0371325933,1
"GBPUSD","gjrGARCH",4,4,10878.9303445735,1
"USDZAR","sGARCH_norm",4,4,8349.95217424961,1
"USDZAR","sGARCH_sstd",4,4,8966.65407342546,1
"USDZAR","eGARCH",3,2,-12147.7974444069,0.666666666666667
"USDZAR","TGARCH",4,4,8709.03558821689,1
"USDZAR","gjrGARCH",4,4,9173.84334066111,1
