epoch,train_loss,val_loss
1,2.2636173725128175,
2,1.431334638595581,
3,1.3892457008361816,
4,1.3249759912490844,
5,1.314970564842224,1.2898079752922058
6,1.3130159854888916,
7,1.2987597942352296,
8,1.288262629508972,
9,1.3044312238693236,
10,1.3111188650131225,1.2652578353881836
11,1.3139088869094848,
12,1.331246566772461,
13,1.3182841539382935,
14,1.3037320137023927,
15,1.3018798589706422,1.257956862449646
16,1.3086177825927734,
17,1.299162745475769,
18,1.3109487533569335,
19,1.2929138660430908,
20,1.2972766399383544,1.2530521750450134
21,1.3181207180023193,
22,1.3078438758850097,
23,1.3094835042953492,
24,1.3107722997665405,
25,1.3117829322814942,1.2581970691680908
26,1.2913480281829834,
27,1.3030619382858277,
28,1.303173017501831,
29,1.3172102928161622,
30,1.3073251485824584,1.2621124982833862
31,1.3100249528884889,
32,1.299012541770935,
33,1.2981886863708496,
34,1.3078162908554076,
35,1.3091087579727172,1.2492274045944214
36,1.3146127700805663,
37,1.3127225160598754,
38,1.3013981580734253,
39,1.3139917612075807,
40,1.2937973976135253,1.2605776190757751
41,1.3104023694992066,
42,1.2972085237503053,
43,1.2924241781234742,
44,1.2926066637039184,
45,1.3419856548309326,1.2535833716392517
46,1.3237148761749267,
47,1.3127216577529908,
48,1.304303479194641,
49,1.2972698211669922,
50,1.2991766691207887,1.2620691061019897
51,1.3042144060134888,
52,1.3041901588439941,
53,1.2983174085617066,
54,1.3269115209579467,
55,1.3170711040496825,1.278325080871582
56,1.3321760177612305,
57,1.3117411136627197,
58,1.3135079860687255,
59,1.301499366760254,
60,1.3069188356399537,1.2534361481666565
61,1.2996131896972656,
62,1.305779767036438,
63,1.2971836566925048,
64,1.2960014343261719,
65,1.325251007080078,1.2705428004264832
66,1.3006518125534057,
67,1.2991861343383788,
68,1.311391043663025,
69,1.2979145288467406,
70,1.3053306818008423,1.2576096653938293
71,1.2967124700546264,
72,1.296297025680542,
73,1.3232200860977172,
74,1.3123285531997682,
75,1.2952775239944458,1.2564882636070251
