"asset","model_family","dist","selected_p","selected_q","classical_BIC","classical_AIC","classical_LL","classical_MSE","classical_MAE","classical_LogLik","nf_MSE","nf_MAE","nf_LogLik","delta_MSE","delta_MAE","delta_LogLik"
"NVDA","sGARCH","norm",1,1,-4.32256512436102,-4.33072343650649,6357.17128135502,0.00111464845681914,0.0242744026515091,3123.19307180512,NA,NA,NA,NA,NA,NA
"NVDA","sGARCH","sstd",1,1,-4.50901543461409,-4.52125290283229,6638.67800845498,0.00111508448429457,0.0242931915722183,3115.64269286866,NA,NA,NA,NA,NA,NA
"NVDA","eGARCH","norm",2,1,-4.3460770223573,-4.36035406861188,6403.63941865362,0.00111455996020164,0.0242695349328278,3116.90594216604,NA,NA,NA,NA,NA,NA
"NVDA","eGARCH","sstd",1,1,-4.51983657358342,-4.53411361983799,6658.54468030234,0.00111524726680831,0.0242989912841367,3009.76753253367,NA,NA,NA,NA,NA,NA
"NVDA","gjrGARCH","norm",2,1,-4.3407717953301,-4.35504884158468,6395.85665060472,0.00111453861850355,0.0242682414329797,3119.15518848369,NA,NA,NA,NA,NA,NA
"NVDA","gjrGARCH","sstd",1,1,-4.51162850697195,-4.52590555322653,6646.50344658331,0.00111517757855149,0.0242965632703555,3127.64203958365,NA,NA,NA,NA,NA,NA
"MSFT","sGARCH","norm",1,1,-5.49695413057006,-5.50511244271553,8079.99995346369,0.000357141216285278,0.0132940618836352,3988.11779242861,NA,NA,NA,NA,NA,NA
"MSFT","sGARCH","sstd",1,1,-5.68671432466445,-5.69895179288266,8366.36228015886,0.000357074935560267,0.0132878049592464,3984.37601355569,NA,NA,NA,NA,NA,NA
"MSFT","eGARCH","norm",1,1,-5.50861903111785,-5.51881692129969,8101.10442354664,0.000357290057446678,0.0133045881718423,4027.42598910073,NA,NA,NA,NA,NA,NA
"MSFT","eGARCH","sstd",1,1,-5.69886419892263,-5.7131412451772,8388.17820667495,0.000357187593954264,0.0132976099874597,3890.62428993717,NA,NA,NA,NA,NA,NA
"MSFT","gjrGARCH","norm",1,1,-5.50244195432728,-5.51263984450912,8092.04265189488,0.000357251368299469,0.0133021091623657,3995.90239622051,NA,NA,NA,NA,NA,NA
"MSFT","gjrGARCH","sstd",1,1,-5.68845210878959,-5.70272915504416,8372.90367044978,0.000357129261333341,0.0132930899585054,3984.71555365199,NA,NA,NA,NA,NA,NA
"AMZN","sGARCH","norm",1,2,-4.60414114225732,-4.61433903243915,6774.23536058824,0.000497740511723748,0.0158454868126219,3775.86640303834,NA,NA,NA,NA,NA,NA
"AMZN","sGARCH","sstd",1,1,-4.92230222145556,-4.93453968967376,7244.96972475141,0.000497770066310838,0.0158455186507115,3770.36100626239,NA,NA,NA,NA,NA,NA
"AMZN","eGARCH","norm",2,1,-4.66126790841841,-4.67554495467298,6866.02444850527,0.00049739528381817,0.0158657957046253,3408.00015714302,NA,NA,NA,NA,NA,NA
"AMZN","eGARCH","sstd",1,1,-4.94604003763756,-4.96031708389214,7283.78516206976,0.000497547922696646,0.0158462434773637,3755.12028192146,NA,NA,NA,NA,NA,NA
"AMZN","gjrGARCH","norm",2,1,-4.61564666631265,-4.62992371256722,6799.09808633611,0.00049773766393544,0.0158454882074985,3772.44626204037,NA,NA,NA,NA,NA,NA
"AMZN","gjrGARCH","sstd",1,1,-4.92784796932361,-4.94212501557818,7257.09739785319,0.000497658267645776,0.0158456243308415,3655.22998537484,NA,NA,NA,NA,NA,NA
"EURUSD","sGARCH","norm",1,1,-7.40778478998216,-7.41594310212763,10883.1885308212,2.20871377796025e-05,0.00350164710606259,6117.39575516507,NA,NA,NA,NA,NA,NA
