"asset","model","split_type","window_id","train_start","train_end","train_size","test_start","test_end","test_size","loglik","aic","bic","n_params","convergence"
"NVDA","sGARCH_norm","tscv",1,1,2934,2934,2935,2954,20,5428.81494681033,-10849.6298936207,-10825.6934057859,4,TRUE
"NVDA","sGARCH_norm","tscv",2,678,3611,2934,3612,3631,20,5609.99080773952,-11211.981615479,-11188.0451276442,4,TRUE
"NVDA","sGARCH_norm","tscv",3,1355,4288,2934,4289,4308,20,5577.7453709092,-11147.4907418184,-11123.5542539836,4,TRUE
"NVDA","eGARCH","tscv",1,1,2934,2934,2935,2954,20,6168.49700511755,-12326.9940102351,-12297.0734004416,5,TRUE
"NVDA","eGARCH","tscv",2,678,3611,2934,3612,3631,20,5957.57387787368,-11905.1477557474,-11875.2271459538,5,TRUE
"NVDA","eGARCH","tscv",3,1355,4288,2934,4289,4308,20,6344.02822671068,-12678.0564534214,-12648.1358436278,5,TRUE
"NVDA","gjrGARCH","tscv",1,1,2934,2934,2935,2954,20,6274.62440200463,-12539.2488040093,-12509.3281942158,5,TRUE
"NVDA","gjrGARCH","tscv",2,678,3611,2934,3612,3631,20,6325.15478247,-12640.30956494,-12610.3889551465,5,TRUE
"NVDA","gjrGARCH","tscv",3,1355,4288,2934,4289,4308,20,6491.73606588292,-12973.4721317658,-12943.5515219723,5,TRUE
"NVDA","TGARCH","tscv",1,1,2934,2934,2935,2954,20,6377.59538463372,-12745.1907692674,-12715.2701594739,5,TRUE
"NVDA","TGARCH","tscv",2,678,3611,2934,3612,3631,20,6411.80088553179,-12813.6017710636,-12783.6811612701,5,TRUE
"NVDA","TGARCH","tscv",3,1355,4288,2934,4289,4308,20,6525.3975708592,-13040.7951417184,-13010.8745319249,5,TRUE
"MSFT","sGARCH_norm","tscv",1,1,2934,2934,2935,2954,20,6961.90946770692,-13915.8189354138,-13891.882447579,4,TRUE
"MSFT","sGARCH_norm","tscv",2,678,3611,2934,3612,3631,20,7224.53200422804,-14441.0640084561,-14417.1275206213,4,TRUE
"MSFT","sGARCH_norm","tscv",3,1355,4288,2934,4289,4308,20,7277.99721386583,-14547.9944277317,-14524.0579398968,4,TRUE
"MSFT","eGARCH","tscv",2,678,3611,2934,3612,3631,20,7730.15037258122,-15450.3007451624,-15420.3801353689,5,TRUE
"MSFT","gjrGARCH","tscv",1,1,2934,2934,2935,2954,20,8076.17919715859,-16142.3583943172,-16112.4377845237,5,TRUE
"MSFT","gjrGARCH","tscv",2,678,3611,2934,3612,3631,20,7984.99947755674,-15959.9989551135,-15930.07834532,5,TRUE
"MSFT","gjrGARCH","tscv",3,1355,4288,2934,4289,4308,20,7973.14749308356,-15936.2949861671,-15906.3743763736,5,TRUE
"MSFT","TGARCH","tscv",1,1,2934,2934,2935,2954,20,8102.37817660814,-16194.7563532163,-16164.8357434228,5,TRUE
