"asset","model","split_type","window_id","train_start","train_end","train_size","test_start","test_end","test_size","loglik","aic","bic","n_params","convergence"
"NVDA","sGARCH_norm","tscv",3,1355,4288,2934,4289,4308,20,5577.7453709092,-11147.4907418184,-11123.5542539836,4,TRUE
"NVDA","gjrGARCH","tscv",3,1355,4288,2934,4289,4308,20,6491.73606588292,-12973.4721317658,-12943.5515219723,5,TRUE
"NVDA","TGARCH","tscv",3,1355,4288,2934,4289,4308,20,4367.13865201151,-8724.27730402302,-8694.35669422951,5,TRUE
"MSFT","sGARCH_norm","tscv",3,1355,4288,2934,4289,4308,20,7277.99721386583,-14547.9944277317,-14524.0579398968,4,TRUE
"MSFT","gjrGARCH","tscv",3,1355,4288,2934,4289,4308,20,7973.14749308356,-15936.2949861671,-15906.3743763736,5,TRUE
"MSFT","TGARCH","tscv",3,1355,4288,2934,4289,4308,20,5890.28090457391,-11770.5618091478,-11740.6411993543,5,TRUE
"AMZN","sGARCH_norm","tscv",3,1355,4288,2934,4289,4308,20,6181.07900939916,-12354.1580187983,-12330.2215309635,4,TRUE
"AMZN","gjrGARCH","tscv",3,1355,4288,2934,4289,4308,20,7154.13417181822,-14298.2683436364,-14268.3477338429,5,TRUE
"AMZN","TGARCH","tscv",3,1355,4288,2934,4289,4308,20,4967.01487372039,-9924.02974744078,-9894.10913764727,5,TRUE
"EURUSD","sGARCH_norm","tscv",3,1355,4288,2934,4289,4308,20,10047.8560977029,-20087.7121954058,-20063.775707571,4,TRUE
"EURUSD","gjrGARCH","tscv",3,1355,4288,2934,4289,4308,20,11248.2702620765,-22486.5405241531,-22456.6199143595,5,TRUE
"EURUSD","TGARCH","tscv",3,1355,4288,2934,4289,4308,20,8807.97756544586,-17605.9551308917,-17576.0345210982,5,TRUE
"GBPUSD","sGARCH_norm","tscv",3,1355,4288,2934,4289,4308,20,10111.5337946796,-20215.0675893592,-20191.1311015244,4,TRUE
"GBPUSD","gjrGARCH","tscv",3,1355,4288,2934,4289,4308,20,10301.7936463696,-20593.5872927391,-20563.6666829456,5,TRUE
"GBPUSD","TGARCH","tscv",3,1355,4288,2934,4289,4308,20,8533.35085817701,-17056.701716354,-17026.7811065605,5,TRUE
"USDZAR","sGARCH_norm","tscv",3,1355,4288,2934,4289,4308,20,8334.0928045929,-16660.1856091858,-16636.249121351,4,TRUE
"USDZAR","eGARCH","tscv",3,1355,4288,2934,4289,4308,20,-1071620.13052559,2143250.26105117,2143280.18166096,5,TRUE
"USDZAR","gjrGARCH","tscv",3,1355,4288,2934,4289,4308,20,9328.13768556408,-18646.2753711282,-18616.3547613347,5,TRUE
"USDZAR","TGARCH","tscv",3,1355,4288,2934,4289,4308,20,7430.01350773476,-14850.0270154695,-14820.106405676,5,TRUE
