Asset,Model,Distribution,MSE_Standard,MAE_Standard,AIC_Standard,BIC_Standard,MSE_NF_GARCH,MAE_NF_GARCH,AIC_NF_GARCH,BIC_NF_GARCH
AMZN,TGARCH,sstd,,,,,0.000499332857659875,0.0158667054091025,-13205.7862971612,-13169.881565409
EURUSD,TGARCH,sstd,,,,,2.20758286778471e-05,0.00350031624878505,-20390.7246340714,-20354.8199023192
GBPUSD,TGARCH,sstd,,,,,3.4504478514368e-05,0.00431956984664171,-20663.0629217926,-20627.1581900404
MSFT,TGARCH,sstd,,,,,0.000360581716372196,0.0133492730468956,-15439.990288026,-15404.0855562738
NVDA,TGARCH,sstd,,,,,0.00111469686403829,0.0242335941397127,-11957.8877932379,-11921.9830614857
USDZAR,TGARCH,sstd,,,,,9.85472216988258e-05,0.00768022841340114,-17296.0175829807,-17260.1128512285
AMZN,gjrGARCH,sstd,0.000544228252986239,0.0168477859626725,-14011.7133296657,-13975.8085979135,0.000498531039874012,0.0158658956528862,-14011.7133296657,-13975.8085979135
EURUSD,gjrGARCH,sstd,0.000287481693506639,0.00618474393245327,-21219.4284734558,-21183.5237417036,2.2072815914142e-05,0.00350164442843429,-21219.4284734558,-21183.5237417036
GBPUSD,gjrGARCH,sstd,3.44080730827349e-05,0.00432211437089372,-21922.1562477529,-21886.2515160007,3.43548762962215e-05,0.00431465842523526,-21922.1562477529,-21886.2515160007
MSFT,gjrGARCH,sstd,0.000357626028317543,0.0133198188840382,-16714.5673553433,-16678.6626235911,0.000357637317046423,0.0133030522984476,-16714.5673553433,-16678.6626235911
NVDA,gjrGARCH,sstd,0.00111720183913927,0.0243034240346594,-13272.5886735945,-13236.6839418423,0.00111535057972973,0.0242942022583521,-13272.5886735945,-13236.6839418423
USDZAR,gjrGARCH,sstd,0.000333471921736581,0.010669540086281,-17933.4795528587,-17897.5748211065,9.82091782302409e-05,0.00764416773516557,-17933.4795528587,-17897.5748211065
AMZN,sGARCH,norm,3.51076521992263,0.411565100315132,-11081.523323752,-11057.5868359172,0.000556982610417858,0.0171338026248393,-11081.523323752,-11057.5868359172
AMZN,sGARCH,sstd,0.366918678159065,0.163903114402675,-13905.261927556,-13875.3413177625,0.000497409451221445,0.0158462756380001,-13905.261927556,-13875.3413177625
EURUSD,sGARCH,norm,,,,,2.21142231310187e-05,0.00350130435394098,-19372.7663740109,-19348.829886176
EURUSD,sGARCH,sstd,0.182363083709309,0.156067440893827,-21086.222814587,-21056.3022047935,2.21028496511079e-05,0.00350398158196061,-21086.222814587,-21056.3022047935
GBPUSD,sGARCH,norm,0.0434668026779057,0.0615510932204801,-20093.9832449172,-20070.0467570823,3.42891762629105e-05,0.00430715491474091,-20093.9832449172,-20070.0467570823
GBPUSD,sGARCH,sstd,0.0816884917040117,0.0581959240540824,-21446.4359075332,-21416.5152977397,3.43323132413725e-05,0.00431244834374611,-21446.4359075332,-21416.5152977397
MSFT,sGARCH,norm,,,,,0.000377390286559431,0.0137695685839832,-13915.8189354138,-13891.882447579
MSFT,sGARCH,sstd,0.0269172399176276,0.0561841775044956,-16187.7828771156,-16157.8622673221,0.00035741869281663,0.0133076321689625,-16187.7828771156,-16157.8622673221
NVDA,sGARCH,norm,0.601409767741544,0.252193599528106,-10849.6298936207,-10825.6934057859,0.00112544275340769,0.0243310309199076,-10849.6298936207,-10825.6934057859
NVDA,sGARCH,sstd,,,,,0.00111656063919218,0.0243001199699729,-12618.2868051962,-12588.3661954027
USDZAR,sGARCH,norm,0.0630028688052877,0.115020280019591,-16711.3634303374,-16687.4269425026,9.82646535001163e-05,0.00766466973784182,-16711.3634303374,-16687.4269425026
USDZAR,sGARCH,sstd,0.344289994468813,0.177136102371628,-17841.2674418593,-17811.3468320658,9.7968589463147e-05,0.007610469739582,-17841.2674418593,-17811.3468320658
